Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Avg_Price, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ADFFOODS, EQ, 22-Mar-2021,871.3,884.9,901,873.7,893.8,895.5,889.53,26663,237.18,3501,9627,36.11
ADHUNIKIND, EQ, 22-Mar-2021,19.85,20.7,20.7,18.55,19.5,19.65,19.55,13026,2.55,113,9594,73.65
ADL, BE, 22-Mar-2021,29.25,30.5,30.5,27.8,28.8,28.05,28.75,2314,0.67,25, -, -
ADORWELD, EQ, 22-Mar-2021,307.05,309.9,316.5,307.9,316.4,315.3,313.36,24343,76.28,614,19143,78.64
ADROITINFO, BE, 22-Mar-2021,10.8,10.3,10.3,10.3,10.3,10.3,10.3,11,0,1, -, -
ADSL, EQ, 22-Mar-2021,50,51,51.1,47.6,48.05,48.3,48.71,215757,105.09,1382,108253,50.17
ADVANIHOTR, EQ, 22-Mar-2021,60.35,61.05,61.65,59.25,61.5,61.15,60.49,14997,9.07,239,11998,80
ADVENZYMES, EQ, 22-Mar-2021,355.5,357,360,352,355,355.15,355.86,104517,371.94,4028,52297,50.04
AEGISCHEM, EQ, 22-Mar-2021,300.2,301,301,291.5,294.2,294.8,294.97,132798,391.72,5598,51446,38.74
AFFLE, EQ, 22-Mar-2021,5347.5,5370.85,5440,5255.3,5300,5299.05,5353.71,59204,3169.61,13867,35904,60.64
AGARIND, BE, 22-Mar-2021,138.25,138.95,145.15,138.95,145.15,145.15,144.87,12538,18.16,97, -, -
AGCNET, EQ, 22-Mar-2021,1036.35,1049.35,1058,1010.55,1040,1039.9,1030.37,3545,36.53,252,2017,56.9
AGRITECH, EQ, 22-Mar-2021,33.55,33.9,34.95,33.05,33.05,33.75,34.05,4792,1.63,153,2101,43.84
AGROPHOS, EQ, 22-Mar-2021,10.95,11.4,12,10.9,12,12,11.87,59815,7.1,236,46550,77.82
AHIMSA, SM, 22-Mar-2021,19.85,16,19.8,16,19.8,19.8,17.9,12000,2.15,2,0,0
AHLADA, EQ, 22-Mar-2021,96,94.4,95.95,93.05,95.95,95.6,95.19,709,0.67,26,532,75.04
AHLEAST, EQ, 22-Mar-2021,156.8,161,161.65,157,161.65,161.65,160.19,1912,3.06,66,1639,85.72
AHLUCONT, EQ, 22-Mar-2021,304.3,307.5,309,298,304.3,305.15,303.71,25235,76.64,929,19235,76.22
AHLWEST, EQ, 22-Mar-2021,209.05,211.25,218.35,209.4,216.9,215.15,213.56,2061,4.4,159,1236,59.97
AIAENG, EQ, 22-Mar-2021,1869.35,1873.1,1925,1873.1,1909,1913.2,1905.89,52126,993.46,7219,24327,46.67
AIRAN, EQ, 22-Mar-2021,16.85,17.25,17.3,15.9,16.5,16.15,16.29,409302,66.66,587,387177,94.59
AISL, SM, 22-Mar-2021,31.6,32.05,32.85,31,32.75,32.65,32.18,22800,7.34,18,1200,5.26
AJANTPHARM, EQ, 22-Mar-2021,1809.75,1825.4,1825.4,1774,1780,1778.8,1781.45,74856,1333.52,8702,47367,63.28
AJMERA, EQ, 22-Mar-2021,114.3,130,136.75,117.05,129.5,130.25,131.37,943229,1239.11,13257,184380,19.55
AJOONI, SM, 22-Mar-2021,32,31.8,31.8,30.75,30.75,30.75,31.43,44440,13.97,8,39996,90
AKASH, EQ, 22-Mar-2021,195.95,204,209,192,205.5,206.3,199.24,60442,120.42,770,54468,90.12
AKG, EQ, 22-Mar-2021,95.05,90.3,90.3,90.3,90.3,90.3,90.3,641,0.58,17,641,100
AKSHARCHEM, EQ, 22-Mar-2021,236.35,243,243,234.7,235.05,235.75,235.97,12104,28.56,842,8603,71.08
AKSHOPTFBR, EQ, 22-Mar-2021,6.1,6.2,6.3,5.85,5.95,5.95,6.02,279059,16.81,517,188023,67.38
AKZOINDIA, EQ, 22-Mar-2021,2199.6,2205,2230,2178.85,2210,2213.6,2209.68,10866,240.1,2781,4753,43.74
ALANKIT, EQ, 22-Mar-2021,15.75,15.6,15.75,15,15.05,15.1,15.27,158423,24.19,517,132194,83.44
ALBERTDAVD, EQ, 22-Mar-2021,391.6,391.6,391.6,382,386,384.3,384.9,11349,43.68,593,7520,66.26
ALCHEM, BZ, 22-Mar-2021,3.9,3.8,3.8,3.75,3.75,3.75,3.76,12990,0.49,39, -, -
ALEMBICLTD, EQ, 22-Mar-2021,100.65,100,101.65,99.7,101.1,101.1,101,228365,230.64,3442,146770,64.27
ALICON, EQ, 22-Mar-2021,501.6,500,514.2,481,485,489.5,494.76,51906,256.81,3460,15818,30.47
ALKALI, EQ, 22-Mar-2021,48.05,48.95,48.95,47.3,47.4,47.6,48.09,12163,5.85,227,8990,73.91
ALKEM, EQ, 22-Mar-2021,2624.85,2634.2,2659.3,2606.2,2634.85,2620.55,2625.52,120147,3154.48,10996,81786,68.07
ALKYLAMINE, EQ, 22-Mar-2021,5335.3,5384,5423.6,5309,5350,5330.15,5360.14,26834,1438.34,5621,12665,47.2
ALLCARGO, EQ, 22-Mar-2021,130.85,129.3,132.6,129.1,130.8,130.75,131.07,182870,239.69,1805,79853,43.67
ALLSEC, EQ, 22-Mar-2021,306.7,312.85,319.9,305,319.85,317.8,312.7,6560,20.51,281,3594,54.79
ALMONDZ, EQ, 22-Mar-2021,28.15,27.05,29.3,26.75,27.2,27.2,27.45,12735,3.5,239,8215,64.51
ALOKINDS, EQ, 22-Mar-2021,19.9,20.8,21.95,20.6,20.95,20.9,21.19,16743394,3548.4,20693,4934422,29.47
ALPA, EQ, 22-Mar-2021,35.9,36.45,36.95,35.2,36.45,36.5,36.47,24174,8.82,232,17431,72.11
ALPHAGEO, EQ, 22-Mar-2021,197.45,197.45,197.45,191.1,191.1,192.55,193.86,9795,18.99,352,7494,76.51
ALPSINDUS, BE, 22-Mar-2021,2,2.05,2.05,1.9,1.9,1.9,1.91,10584,0.2,19, -, -
AMARAJABAT, EQ, 22-Mar-2021,868.8,871,876.45,865.1,875,874.4,872.65,353785,3087.32,10754,93209,26.35
AMBER, EQ, 22-Mar-2021,3254.2,3275,3394,3236.05,3346,3335.85,3316.9,63904,2119.63,11062,22143,34.65
AMBIKCO, EQ, 22-Mar-2021,993.4,996.05,1000,976.1,983.9,981.85,985.41,7122,70.18,1033,4193,58.87
AMBUJACEM, EQ, 22-Mar-2021,283.45,284.45,297.8,278,297.4,295.6,292.58,11182565,32718.19,88706,2880805,25.76
AMDIND, BE, 22-Mar-2021,19.2,19.2,19.9,18.25,18.8,18.35,18.51,28064,5.19,86, -, -
AMJLAND, EQ, 22-Mar-2021,23.05,23.45,24.75,22.8,23.5,23.5,23.6,24979,5.89,182,21181,84.8
AMJUMBO, SM, 22-Mar-2021,9.15,9.1,9.1,9.1,9.1,9.1,9.1,24000,2.18,3,24000,100
AMRUTANJAN, EQ, 22-Mar-2021,501.6,502,523,502,519,519.3,514.92,71339,367.34,3045,24647,34.55
ANANTRAJ, EQ, 22-Mar-2021,54.35,55,56.05,53.95,54.4,54.1,54.58,314182,171.48,2033,215084,68.46
ANDHRACEMT, EQ, 22-Mar-2021,5.9,6,6.1,5.7,5.9,5.9,5.92,214152,12.67,741,138757,64.79
ANDHRAPAP, EQ, 22-Mar-2021,230.65,230.65,234.85,227.1,233.55,233.35,231.07,15780,36.46,328,9758,61.84
ANDHRSUGAR, EQ, 22-Mar-2021,298.45,303,306,293.3,305.5,304.95,303.45,60298,182.98,2464,22013,36.51
ANGELBRKG, EQ, 22-Mar-2021,307.9,306,315.5,305.35,314,313.95,308.87,145667,449.92,2559,99534,68.33
ANIKINDS, EQ, 22-Mar-2021,16.2,15.9,16.6,15.9,16.2,16.25,16.13,2738,0.44,22,2389,87.25
ANKITMETAL, EQ, 22-Mar-2021,1.05,1.05,1.1,1.05,1.1,1.1,1.08,115634,1.24,78,47799,41.34
ANSALAPI, EQ, 22-Mar-2021,6.8,6.7,6.95,6.55,6.65,6.65,6.7,119608,8.01,226,79694,66.63
ANSALHSG, EQ, 22-Mar-2021,5.9,6.1,6.1,5.8,5.8,5.85,5.9,73492,4.34,135,38260,52.06
ANTGRAPHIC, BE, 22-Mar-2021,0.55,0.5,0.5,0.5,0.5,0.5,0.5,12637,0.06,17, -, -
ANUP, EQ, 22-Mar-2021,576.95,580,595.05,575,592.95,588.6,583.75,44241,258.26,1383,38282,86.53
APARINDS, EQ, 22-Mar-2021,469.65,471.9,478,455.8,471,462.05,465.75,44256,206.12,1668,28848,65.18
APCL, EQ, 22-Mar-2021,207.9,207.9,214,207,211.4,211.55,209.57,34909,73.16,807,22693,65.01
APCOTEXIND, EQ, 22-Mar-2021,179.25,178,185.9,177.85,180.2,180.2,182.24,96031,175,4448,29291,30.5
APEX, EQ, 22-Mar-2021,222.55,217.6,228.75,217.5,221.9,221.65,222.47,76140,169.39,2834,34077,44.76
APLAPOLLO, EQ, 22-Mar-2021,1254.6,1254.6,1296.9,1245,1252,1283.8,1281.58,538272,6898.37,21333,419127,77.87
APLLTD, EQ, 22-Mar-2021,887.55,890.1,925.95,888.65,921.3,916.2,915.61,555759,5088.59,11886,314335,56.56
APOLLO, EQ, 22-Mar-2021,99.15,100,101.45,96.5,99.5,99.15,98.85,198324,196.04,5617,71292,35.95
APOLLOHOSP, EQ, 22-Mar-2021,2934.6,2913,2944.25,2875,2907,2905.1,2907.12,488626,14204.95,24858,118429,24.24
APOLLOPIPE, EQ, 22-Mar-2021,850.1,850.1,859,811.9,831,827.65,838.19,27885,233.73,2433,11550,41.42
APOLLOTYRE, EQ, 22-Mar-2021,225.1,226,226.75,220.7,225.6,224.4,223.8,5402029,12089.85,31149,545455,10.1
APOLSINHOT, EQ, 22-Mar-2021,515.55,529.95,547.75,525,525,529.75,530.99,532,2.82,46,445,83.65
APTECHT, EQ, 22-Mar-2021,206.2,207,211.8,205,206.85,208.45,207.82,211265,439.05,6918,50561,23.93
ARCHIDPLY, BE, 22-Mar-2021,32.5,33.85,33.85,31.55,33.1,33.1,32.39,8264,2.68,68, -, -
ARCHIES, EQ, 22-Mar-2021,10.95,11,11,10.8,11,10.95,10.91,30378,3.31,168,27591,90.83
ARCOTECH, BZ, 22-Mar-2021,1.9,1.85,1.85,1.85,1.85,1.85,1.85,8746,0.16,24, -, -
ARENTERP, EQ, 22-Mar-2021,11.3,11.3,11.7,10.95,11.55,11.55,11.31,1320,0.15,27,259,19.62
ARIES, EQ, 22-Mar-2021,87.55,88.7,89.9,87.1,88,88.6,88.64,30515,27.05,597,17636,57.79
ARIHANT, EQ, 22-Mar-2021,19.3,19.7,20.2,19.1,19.15,19.2,19.59,915,0.18,43,774,84.59
ARIHANTSUP, EQ, 22-Mar-2021,34.45,32.55,35,32.55,34.5,34.35,34.1,35729,12.18,184,13674,38.27
ARMANFIN, EQ, 22-Mar-2021,637.15,632,647.5,624.3,636.7,633.1,633.85,8329,52.79,674,4577,54.95
AROGRANITE, EQ, 22-Mar-2021,43.1,43,43.5,39.65,42.4,42.5,42.03,63132,26.53,790,34310,54.35
ARROWGREEN, BE, 22-Mar-2021,69.7,69,73.15,66.4,73.1,73.1,72.51,10690,7.75,119, -, -
ARSHIYA, BE, 22-Mar-2021,35.05,36.8,36.8,36.8,36.8,36.8,36.8,85041,31.3,51, -, -
ARSSINFRA, EQ, 22-Mar-2021,22.45,22.15,22.95,21.6,21.7,22,22.3,9933,2.22,144,5450,54.87
ARTEDZ, SZ, 22-Mar-2021,22.4,21.3,22.2,21.3,22.2,22.2,22.07,30000,6.62,4,30000,100
ARTEMISMED, EQ, 22-Mar-2021,217.8,216.2,228,211,227.8,224.45,222.29,1767,3.93,88,1290,73.01
ARTNIRMAN, SM, 22-Mar-2021,21.25,25.4,25.5,17.1,25.5,25.5,23.39,48000,11.23,8,6000,12.5
ARVEE, EQ, 22-Mar-2021,41.5,43.55,43.55,43.55,43.55,43.55,43.55,9,0,1,9,100
ARVIND, EQ, 22-Mar-2021,69.65,70.95,73.9,68.55,72.05,72.35,72.22,1033524,746.46,7337,483118,46.74
ARVINDFASN, EQ, 22-Mar-2021,151.95,153.95,154.8,149,153.3,153.85,152.51,127775,194.87,3581,58060,45.44
ARVSMART, EQ, 22-Mar-2021,95.4,95.45,99,95.45,97.2,97.05,97.41,55988,54.54,922,24724,44.16
ASAHIINDIA, EQ, 22-Mar-2021,302.65,302.65,309,300,303.9,302.6,304.14,17464,53.12,786,8969,51.36
ASAHISONG, EQ, 22-Mar-2021,321.1,317,321.35,310.5,313.05,312.85,316.25,11903,37.64,506,6403,53.79
ASAL, BE, 22-Mar-2021,34.85,35.5,36.5,35,35.15,35.25,35.66,6492,2.31,32, -, -
ASALCBR, EQ, 22-Mar-2021,412.75,416.6,430.6,415,429.5,427.7,423.55,110126,466.43,3600,68309,62.03
ASHAPURMIN, EQ, 22-Mar-2021,104.65,100.15,104.2,99.45,99.45,99.45,100.64,381276,383.71,4222,299895,78.66
ASHIANA, EQ, 22-Mar-2021,132.65,132.65,144,132.55,135.3,136.8,136.95,125882,172.4,3181,52196,41.46
ASHIMASYN, EQ, 22-Mar-2021,15.55,15.45,16.3,15.45,15.95,15.85,15.99,66799,10.68,247,46409,69.48
ASHOKA, EQ, 22-Mar-2021,103.15,104.45,104.6,102.3,102.75,102.7,103.3,771374,796.83,16978,257007,33.32
ASHOKLEY, EQ, 22-Mar-2021,116.3,116.1,116.75,112.5,113.75,113.75,114.16,16392169,18713.56,76242,3868499,23.6
ASIANHOTNR, EQ, 22-Mar-2021,65.7,67,70.45,65.95,68.45,67.6,68.21,7707,5.26,120,5384,69.86
ASIANPAINT, EQ, 22-Mar-2021,2411.25,2390,2438.1,2390,2427.95,2425.7,2419.88,1489853,36052.6,74852,591788,39.72
ASIANTILES, EQ, 22-Mar-2021,163.6,161,166.8,159.05,159.55,160.25,161.26,533843,860.89,7958,243391,45.59
ASLIND, SM, 22-Mar-2021,16.8,16,16,16,16,16,16,304000,48.64,32,300000,98.68
ASPINWALL, EQ, 22-Mar-2021,184,186.95,186.95,179.05,179.45,180.85,180.85,2212,4,108,1274,57.59
ASTEC, EQ, 22-Mar-2021,1070.3,1060.6,1099,1051,1072.05,1072.15,1074.11,15989,171.74,3165,7375,46.13
ASTERDM, EQ, 22-Mar-2021,140.2,140.2,143.95,139.15,143.85,143.4,142.51,178862,254.9,3121,74606,41.71
ASTRAL, EQ, 22-Mar-2021,1671.25,1672,1730,1661.05,1705,1705.45,1691.05,175632,2970.02,18725,74670,42.52
ASTRAMICRO, EQ, 22-Mar-2021,137.35,136.5,142.8,134,139.1,139.35,139.4,537677,749.5,6755,225804,42
ASTRAZEN, EQ, 22-Mar-2021,3248.4,3265.5,3384.85,3213.1,3294,3292,3313.28,118907,3939.72,16679,18798,15.81
ASTRON, EQ, 22-Mar-2021,44.1,44.55,48,43.55,44,44.1,44.52,113231,50.42,580,82279,72.66
ATFL, EQ, 22-Mar-2021,809.45,813.5,818.85,804.75,816,814.5,814.71,4984,40.6,1011,3427,68.76
ATGL, EQ, 22-Mar-2021,739.2,745.45,852,745.45,825,819.1,816.28,4323983,35295.9,92407,1227174,28.38
ATLANTA, EQ, 22-Mar-2021,7.45,7.4,7.6,7.25,7.3,7.3,7.36,22290,1.64,136,17994,80.73
ATLASCYCLE, BZ, 22-Mar-2021,28.6,27.2,27.2,27.2,27.2,27.2,27.2,21056,5.73,81, -, -
ATUL, EQ, 22-Mar-2021,6732.5,6764,7038.4,6670.05,6890,6920.45,6881.44,66938,4606.3,9542,38568,57.62
ATULAUTO, EQ, 22-Mar-2021,183.7,187.9,187.9,182.5,185,183.8,184.92,60214,111.35,1972,25158,41.78
AUBANK, EQ, 22-Mar-2021,1197.75,1209,1234.75,1195,1220.3,1222.9,1220.52,758035,9251.95,36627,298796,39.42
AURIONPRO, EQ, 22-Mar-2021,130.2,130.2,135.75,122.05,122.95,124.7,128.35,105847,135.86,2362,66178,62.52
AUROPHARMA, EQ, 22-Mar-2021,822.25,830.1,849.5,826,839.4,835.25,839.13,3077093,25820.84,86188,963773,31.32
AUSOMENT, EQ, 22-Mar-2021,46.2,49,49.25,46.3,47.9,48.55,48.24,5029,2.43,161,3540,70.39
AUTOAXLES, EQ, 22-Mar-2021,1169.45,1169.45,1171.4,1116,1122.35,1130.7,1140.48,11721,133.68,1463,6600,56.31
AUTOIND, EQ, 22-Mar-2021,38.65,40.45,40.45,37.5,39.2,38.55,38.67,52293,20.22,567,31915,61.03
AVADHSUGAR, EQ, 22-Mar-2021,192.6,189.2,193.6,188.25,191.95,190.45,190.78,73322,139.89,1995,18787,25.62
AVANTIFEED, EQ, 22-Mar-2021,450.7,455,461.7,443,455,455.95,450.39,369985,1666.39,26196,162973,44.05
AVTNPL, EQ, 22-Mar-2021,43.95,43.5,45.75,43.5,44.9,45,44.72,78300,35.01,621,42792,54.65
AWHCL, EQ, 22-Mar-2021,263.5,263.5,268.8,263,263,264.05,265.57,71030,188.64,3230,28237,39.75
AXISBANK, EQ, 22-Mar-2021,726.25,719,730,709.3,717,716.2,717.52,14802230,106209.26,180771,5231297,35.34
AXISBNKETF, EQ, 22-Mar-2021,339.71,336.41,338,332.5,334.66,334.16,335.17,1487,4.98,92,1470,98.86
AXISCADES, EQ, 22-Mar-2021,45.8,47.65,47.65,41.55,43.5,43.15,43.55,87877,38.27,848,52980,60.29
AXISGOLD, EQ, 22-Mar-2021,39.22,39.69,39.95,38.9,38.97,38.93,39.07,234516,91.63,2186,153780,65.57
AXISNIFTY, EQ, 22-Mar-2021,152.79,152.75,155,151.1,152.37,153.1,152.68,3136,4.79,185,2714,86.54
AYMSYNTEX, EQ, 22-Mar-2021,46,47.9,47.9,44.55,44.6,45.15,45.34,19012,8.62,134,17666,92.92
BAFNAPH, EQ, 22-Mar-2021,177.95,186.8,186.8,186.8,186.8,186.8,186.8,6610,12.35,85,6610,100
BAGFILMS, EQ, 22-Mar-2021,2.3,2.3,2.3,2.2,2.2,2.2,2.23,276749,6.16,180,190651,68.89
BAJAJ-AUTO, EQ, 22-Mar-2021,3650.05,3650.2,3685,3634.3,3661.5,3664.75,3659.16,502724,18395.47,50732,190957,37.98
BAJAJCON, EQ, 22-Mar-2021,269.05,270.7,272.9,265.65,269,269.2,269.26,345872,931.28,10674,127255,36.79
BAJAJELEC, EQ, 22-Mar-2021,921.1,934.9,949.7,922.65,935,934,932.26,87412,814.91,5645,42546,48.67
BAJAJFINSV, EQ, 22-Mar-2021,9440.65,9450,9494.95,9312.05,9402,9405.85,9409.56,293029,27572.74,39865,55008,18.77
BAJAJHIND, EQ, 22-Mar-2021,6.4,6.5,6.75,6.4,6.65,6.55,6.59,4027206,265.21,4995,1626605,40.39
BAJAJHLDNG, EQ, 22-Mar-2021,3429,3427.8,3455,3366.15,3422.5,3428.3,3411.34,20010,682.61,4024,7982,39.89
BAJFINANCE, EQ, 22-Mar-2021,5453.25,5446.5,5497,5337,5384.1,5389.35,5399.03,1938461,104658.09,136945,317881,16.4
BALAJITELE, EQ, 22-Mar-2021,59.2,59.3,59.75,57.6,58,57.9,58.49,388426,227.17,2393,202030,52.01
BALAMINES, EQ, 22-Mar-2021,1688.65,1719,1719,1673.35,1696,1691.8,1695.33,70348,1192.63,5901,17948,25.51
BALAXI, EQ, 22-Mar-2021,536.85,559.65,559.65,524.7,530.05,530.25,537.92,2693,14.49,315,1671,62.05
BALKRISHNA, BE, 22-Mar-2021,22.45,21.5,23.55,21.5,23.3,23.25,22.65,3973,0.9,29, -, -
BALKRISIND, EQ, 22-Mar-2021,1616.85,1615,1628.95,1601.55,1618.05,1622.35,1618.64,379095,6136.17,20273,156656,41.32
BALLARPUR, BZ, 22-Mar-2021,1.25,1.25,1.25,1.2,1.2,1.2,1.2,2022186,24.3,326, -, -
BALMLAWRIE, EQ, 22-Mar-2021,135.5,134.7,140.8,134.05,137.5,137.75,137.62,916718,1261.61,12957,206406,22.52
BALPHARMA, EQ, 22-Mar-2021,54.35,54,59,54,57,56.5,56.65,96875,54.87,1056,31548,32.57
BALRAMCHIN, EQ, 22-Mar-2021,202.25,202.2,207.3,198.1,204.05,204.2,202.86,1580377,3205.95,18006,355811,22.51
BANARBEADS, EQ, 22-Mar-2021,51.85,52.3,54.45,51.85,51.85,52.3,52.65,4369,2.3,85,3606,82.54
BANARISUG, EQ, 22-Mar-2021,1735.35,1735.05,1765.55,1700,1700,1705.8,1730.95,869,15.04,303,280,32.22
BANCOINDIA, EQ, 22-Mar-2021,143.55,145,151,145,148,146.85,146.8,121397,178.21,2701,55398,45.63
BANDHANBNK, EQ, 22-Mar-2021,346.05,346.05,355.45,343.3,352.5,352.6,351.81,9247050,32532.14,83384,2634238,28.49
BANG, EQ, 22-Mar-2021,26.85,27.05,27.95,26.5,27,27.4,27.27,1702,0.46,68,1067,62.69
BANKA, EQ, 22-Mar-2021,61.2,58.15,61.5,58.15,58.35,58.3,59,6515,3.84,140,4851,74.46
BANKBARODA, EQ, 22-Mar-2021,73.7,73.8,74.65,71.75,72.45,72.45,72.91,43215479,31508.62,90179,9689849,22.42
BANKBEES, EQ, 22-Mar-2021,342.54,342.54,345,335.55,338.47,337.91,338.68,929759,3148.89,15129,300240,32.29
BANKINDIA, EQ, 22-Mar-2021,66.7,67,69.25,66.35,68.2,68.4,68.22,4182860,2853.74,19346,1055171,25.23
BANSWRAS, EQ, 22-Mar-2021,109.3,116,116,105.6,108.6,108,110.22,6250,6.89,202,4506,72.1
